Id;Title;PosterPath;Popularity;VoteCount
"174";"Star Trek VI: The Undiscovered Country";"https://image.tmdb.org/t/p/w500/tvTOJD7Gz668GLy2nNdLRQvpPsv.jpg";"1,9779";"1314"
"175";"The Big Blue";"https://image.tmdb.org/t/p/w500/3t5t7yaFiTJQlqxiTkXJMFZdkh3.jpg";"2,7317";"1487"
"176";"Saw";"https://image.tmdb.org/t/p/w500/rLNSOudrayDBo1uqXjrhxcjODIC.jpg";"8,2309";"9548"
"178";"Blown Away";"https://image.tmdb.org/t/p/w500/pLmMaqMgJMOOtua41l7ocvzLS1t.jpg";"2,2658";"573"
"179";"The Interpreter";"https://image.tmdb.org/t/p/w500/wTidq3J9fh8sEOAlD8WZFHVLSuB.jpg";"2,816";"1476"
"180";"Minority Report";"https://image.tmdb.org/t/p/w500/ccqpHq5tk5W4ymbSbuoy4uYOxFI.jpg";"8,1548";"9050"
"184";"Jackie Brown";"https://image.tmdb.org/t/p/w500/rOUx7qg4KmEh1juEDwqzbDSL1Nr.jpg";"5,9208";"6579"
"185";"A Clockwork Orange";"https://image.tmdb.org/t/p/w500/4sHeTAp65WrSSuc05nRBKddhBxO.jpg";"7,0461";"13243"
"186";"Lucky Number Slevin";"https://image.tmdb.org/t/p/w500/x21s3p5wPww534nYj1cWakTcqz4.jpg";"4,2915";"4204"
"187";"Sin City";"https://image.tmdb.org/t/p/w500/i66G50wATMmPrvpP95f0XP6ZdVS.jpg";"6,5321";"8380"
"192";"The Name of the Rose";"https://image.tmdb.org/t/p/w500/2BuVu0j6v2kNY2gGxtO3sDGyob2.jpg";"4,1618";"3133"
"193";"Star Trek: Generations";"https://image.tmdb.org/t/p/w500/gh0ZZRwSmlzEZTIZee3ZCN9Jssx.jpg";"1,8846";"1386"
"196";"Back to the Future Part III";"https://image.tmdb.org/t/p/w500/crzoVQnMzIrRfHtQw0tLBirNfVg.jpg";"6,4076";"10950"
"197";"Braveheart";"https://image.tmdb.org/t/p/w500/or1gBugydmjToAEq7OZY0owwFk.jpg";"10,9632";"10490"
"199";"Star Trek: First Contact";"https://image.tmdb.org/t/p/w500/iqhHe893Vcf07jNkNQ31tu85dKG.jpg";"3,3501";"1837"
"200";"Star Trek: Insurrection";"https://image.tmdb.org/t/p/w500/xQCMAHeg5M9HpDIqanYbWdr4brB.jpg";"2,9567";"1268"
"203";"Mean Streets";"https://image.tmdb.org/t/p/w500/rzVTH9ylCw0owKkMZQVz2Eve97E.jpg";"2,5583";"2171"
"205";"Hotel Rwanda";"https://image.tmdb.org/t/p/w500/p3pHw85UMZPegfMZBA6dZ06yarm.jpg";"3,9423";"2953"
"207";"Dead Poets Society";"https://image.tmdb.org/t/p/w500/erzbMlcNHOdx24AXOcn2ZKA7R1q.jpg";"10,05";"11736"
"212";"Arsenic and Old Lace";"https://image.tmdb.org/t/p/w500/xG1GEEQGgExKl0WT5sRo1Arst5D.jpg";"2,6572";"980"
"213";"North by Northwest";"https://image.tmdb.org/t/p/w500/kNOFPQrel9YFCVzI0DF8FnCEpCw.jpg";"3,215";"4258"
"214";"Saw III";"https://image.tmdb.org/t/p/w500/4iO9n24Rb10peXV0JH2EldIOrAp.jpg";"4,6545";"4674"
"217";"Indiana Jones and the Kingdom of the Crystal Skull";"https://image.tmdb.org/t/p/w500/56As6XEM1flWvprX4LgkPl8ii4K.jpg";"7,4424";"8594"
"218";"The Terminator";"https://image.tmdb.org/t/p/w500/hzXSE66v6KthZ8nPoLZmsi2G05j.jpg";"13,367";"13720"
"219";"Volver";"https://image.tmdb.org/t/p/w500/m1ZUDGTFtVGE3zjTvF8OiQ9um5e.jpg";"2,0699";"1798"
"221";"Rebel Without a Cause";"https://image.tmdb.org/t/p/w500/yHStsC8rRRfIjqRN38BQsLh6S7k.jpg";"2,5357";"1670"
"227";"The Outsiders";"https://image.tmdb.org/t/p/w500/iwbbE0xiOuflxE99gESWC2b5Ohc.jpg";"4,4143";"1435"
"229";"Bride of Frankenstein";"https://image.tmdb.org/t/p/w500/5241zUwe7rC17MNc2QpCBKKdp1N.jpg";"2,1592";"1027"
"232";"Rumble Fish";"https://image.tmdb.org/t/p/w500/nwIUWs7cexC8Wk9c6ey8nFltAZd.jpg";"2,2441";"708"
"233";"The Wanderers";"https://image.tmdb.org/t/p/w500/fANRbjr1GWHFVMi6oviRXTdkASX.jpg";"1,8086";"202"
"234";"The Cabinet of Dr. Caligari";"https://image.tmdb.org/t/p/w500/myK9DeIsXWGKgUTZyGXg2IfFk0W.jpg";"2,9198";"1663"
"235";"Stand by Me";"https://image.tmdb.org/t/p/w500/vz0w9BSehcqjDcJOjRaCk7fgJe7.jpg";"6,0144";"6111"
"236";"Muriel's Wedding";"https://image.tmdb.org/t/p/w500/zJyTr8Fo412a2OIfJGXTRAm4IwX.jpg";"2,126";"467"
"238";"The Godfather";"https://image.tmdb.org/t/p/w500/3bhkrj58Vtu7enYsRolD1fZdja1.jpg";"29,0373";"21626"
"239";"Some Like It Hot";"https://image.tmdb.org/t/p/w500/hVIKyTK13AvOGv7ICmJjK44DTzp.jpg";"4,644";"3627"
"240";"The Godfather Part II";"https://image.tmdb.org/t/p/w500/hek3koDUyRQk7FIhPXsa6mT2Zc3.jpg";"17,0537";"13059"
"241";"Natural Born Killers";"https://image.tmdb.org/t/p/w500/fEKZwT91gxvkAoyPgpNXo8W5fu0.jpg";"3,5644";"3539"
"243";"High Fidelity";"https://image.tmdb.org/t/p/w500/e2LZGB62GMhv3Fo8tDZjY87I81a.jpg";"2,6328";"2069"
"244";"King Kong";"https://image.tmdb.org/t/p/w500/lHlnxKL5GbgRibyRFI7n1Ey850i.jpg";"2,8486";"1532"
"245";"About a Boy";"https://image.tmdb.org/t/p/w500/optezspqJjHI9WyC8brY96zbcdt.jpg";"3,4478";"2268"
"252";"Willy Wonka & the Chocolate Factory";"https://image.tmdb.org/t/p/w500/vmpsZkrs4Uvkp9r1atL8B3frA63.jpg";"6,3287";"3733"
"254";"King Kong";"https://image.tmdb.org/t/p/w500/6a2HY6UmD7XiDD3NokgaBAXEsD2.jpg";"9,3749";"8096"
"260";"The 39 Steps";"https://image.tmdb.org/t/p/w500/yRnl3nTtKVTIBcLHHyXrrXPZWVS.jpg";"2,6065";"985"
"262";"The King of Comedy";"https://image.tmdb.org/t/p/w500/3BM78deUfeZfShqPTblZuamgC8a.jpg";"2,8268";"2406"
"268";"Batman";"https://image.tmdb.org/t/p/w500/cij4dd21v2Rk2YtUQbV5kW69WB2.jpg";"10,0058";"8128"
"269";"Breathless";"https://image.tmdb.org/t/p/w500/9Wx0Wdn2EOqeCZU4SP6tlS3LOml.jpg";"2,7122";"1886"
"272";"Batman Begins";"https://image.tmdb.org/t/p/w500/4MpN4kIEqUjW8OPtOQJXlTdHiJV.jpg";"12,7092";"21598"
"274";"The Silence of the Lambs";"https://image.tmdb.org/t/p/w500/uS9m8OBk1A8eM9I042bx8XXpqAq.jpg";"3,4331";"16936"
"277";"Underworld";"https://image.tmdb.org/t/p/w500/zsnQ41UZ3jo1wEeemF0eA9cAIU0.jpg";"5,5431";"6307"
"278";"The Shawshank Redemption";"https://image.tmdb.org/t/p/w500/9cqNxx0GxF0bflZmeSMuL5tnGzr.jpg";"29,026";"28558"
"279";"Amadeus";"https://image.tmdb.org/t/p/w500/1n5VUlCqgmVax1adxGZm8oCFaKc.jpg";"4,9857";"4443"
"280";"Terminator 2: Judgment Day";"https://image.tmdb.org/t/p/w500/5M0j0B18abtBI5gi2RhfjjurTqb.jpg";"13,5434";"13428"
"281";"Strange Days";"https://image.tmdb.org/t/p/w500/rY5BrDRcYAKE0BYmmT66YG6Uy5Q.jpg";"2,6342";"1412"
"284";"The Apartment";"https://image.tmdb.org/t/p/w500/hhSRt1KKfRT0yEhEtRW3qp31JFU.jpg";"3,308";"2443"
"285";"Pirates of the Caribbean: At World's End";"https://image.tmdb.org/t/p/w500/jGWpG4YhpQwVmjyHEGkxEkeRf0S.jpg";"17,3113";"14787"
"287";"Bull Durham";"https://image.tmdb.org/t/p/w500/q3T9bO6p74NcTxWOhdUA6fASQ5T.jpg";"2,6016";"609"
"289";"Casablanca";"https://image.tmdb.org/t/p/w500/oyGRZVIthHJjc98ekKpeWpDh8Ws.jpg";"5,2057";"5671"
"290";"Barton Fink";"https://image.tmdb.org/t/p/w500/oDkp5iClJ9WKJGtKHz8BydodHC3.jpg";"2,7158";"1744"
"293";"A River Runs Through It";"https://image.tmdb.org/t/p/w500/aVP45oS2cBL4WtZ1kB7r8uarruB.jpg";"3,9374";"1117"
"296";"Terminator 3: Rise of the Machines";"https://image.tmdb.org/t/p/w500/vvevzdYIrk2636maNW4qeWmlPFG.jpg";"7,0625";"6866"
"297";"Meet Joe Black";"https://image.tmdb.org/t/p/w500/fDPAjvfPMomkKF7cMRmL5Anak61.jpg";"16,9657";"5447"
"299";"Ocean's Eleven";"https://image.tmdb.org/t/p/w500/A4R6u7SidBPVXMVzGSysCiRGTRz.jpg";"2,6863";"370"
"301";"Rio Bravo";"https://image.tmdb.org/t/p/w500/4gI4KKmoi0d3yfsF71YU3S0I5t8.jpg";"3,5421";"1198"
"303";"Notorious";"https://image.tmdb.org/t/p/w500/yUjKnpColooH88BFQJwwgNOQ56N.jpg";"2,9611";"1652"
"306";"Beverly Hills Cop III";"https://image.tmdb.org/t/p/w500/7vIpCkgGEfk5LZwm78nMxswLJRH.jpg";"2,6578";"1979"
"309";"The Celebration";"https://image.tmdb.org/t/p/w500/2LRzNq41yrY8EjCnD1S8sCCPvKk.jpg";"2,2805";"1155"
"310";"Bruce Almighty";"https://image.tmdb.org/t/p/w500/3XJKBKh9Km89EoUEitVTSnrlAkZ.jpg";"9,3996";"10986"
"311";"Once Upon a Time in America";"https://image.tmdb.org/t/p/w500/i0enkzsL5dPeneWnjl1fCWm6L7k.jpg";"7,1594";"5660"
"314";"Catwoman";"https://image.tmdb.org/t/p/w500/pvnPgukFyEKgCzyOxyLiwyZ8T1C.jpg";"3,7759";"3421"
"319";"True Romance";"https://image.tmdb.org/t/p/w500/39lXk6ud6KiJgGbbWI2PUKS7y2.jpg";"4,7414";"2840"
"322";"Mystic River";"https://image.tmdb.org/t/p/w500/hCHVDbo6XJGj3r2i4hVjKhE0GKF.jpg";"5,4129";"6954"
"326";"Snakes on a Plane";"https://image.tmdb.org/t/p/w500/9wqWQ5rXQG6daMpowqwadGjI768.jpg";"3,6808";"1847"
"329";"Jurassic Park";"https://image.tmdb.org/t/p/w500/63viWuPfYQjRYLSZSZNq7dglJP5.jpg";"22,1772";"16933"
"334";"Magnolia";"https://image.tmdb.org/t/p/w500/tpfC325Jk6S38VTe5dDWjWtoyxr.jpg";"3,974";"3698"
"335";"Once Upon a Time in the West";"https://image.tmdb.org/t/p/w500/qbYgqOczabWNn2XKwgMtVrntD6P.jpg";"12,1328";"4576"
"345";"Eyes Wide Shut";"https://image.tmdb.org/t/p/w500/knEIz1eNGl5MQDbrEAVWA7iRqF9.jpg";"10,8509";"6493"
